Country Code,Region,Country,Continent
ABW,Latin America & Caribbean,Aruba,South America
AFG,South Asia,Afghanistan,Asia
AGO,Sub-Saharan Africa,Angola,Africa
ALB,Europe & Central Asia,Albania,Europe
AND,Europe & Central Asia,Andorra,Europe
ARE,Middle East & North Africa,United Arab Emirates,Asia
ARG,Latin America & Caribbean,Argentina,South America
ARM,Europe & Central Asia,Armenia,Europe
ASM,East Asia & Pacific,American Samoa,Asia
ATG,Latin America & Caribbean,Antigua and Barbuda,South America
AUS,East Asia & Pacific,Australia,Asia
AUT,Europe & Central Asia,Austria,Europe
AZE,Europe & Central Asia,Azerbaijan,Europe
BDI,Sub-Saharan Africa,Burundi,Africa
BEL,Europe & Central Asia,Belgium,Europe
BEN,Sub-Saharan Africa,Benin,Africa
BFA,Sub-Saharan Africa,Burkina Faso,Africa
BGD,South Asia,Bangladesh,Asia
BGR,Europe & Central Asia,Bulgaria,Europe
BHR,Middle East & North Africa,Bahrain,Asia
BHS,Latin America & Caribbean,"Bahamas, The",South America
BIH,Europe & Central Asia,Bosnia and Herzegovina,Europe
BLR,Europe & Central Asia,Belarus,Europe
BLZ,Latin America & Caribbean,Belize,South America
BMU,North America,Bermuda,North America
BOL,Latin America & Caribbean,Bolivia,South America
BRA,Latin America & Caribbean,Brazil,South America
BRB,Latin America & Caribbean,Barbados,South America
BRN,East Asia & Pacific,Brunei Darussalam,Asia
BTN,South Asia,Bhutan,Asia
BWA,Sub-Saharan Africa,Botswana,Africa
CAF,Sub-Saharan Africa,Central African Republic,Africa
CAN,North America,Canada,North America
CHE,Europe & Central Asia,Switzerland,Europe
CHI,Europe & Central Asia,Channel Islands,Europe
CHL,Latin America & Caribbean,Chile,South America
CHN,East Asia & Pacific,China,Asia
CIV,Sub-Saharan Africa,Côte d'Ivoire,Africa
CMR,Sub-Saharan Africa,Cameroon,Africa
COD,Sub-Saharan Africa,"Congo, Dem. Rep.",Africa
COG,Sub-Saharan Africa,"Congo, Rep.",Africa
COL,Latin America & Caribbean,Colombia,South America
COM,Sub-Saharan Africa,Comoros,Africa
CPV,Sub-Saharan Africa,Cabo Verde,Africa
CRI,Latin America & Caribbean,Costa Rica,South America
CUB,Latin America & Caribbean,Cuba,South America
CUW,Latin America & Caribbean,Curaçao,South America
CYM,Latin America & Caribbean,Cayman Islands,South America
CYP,Europe & Central Asia,Cyprus,Europe
CZE,Europe & Central Asia,Czechia,Europe
DEU,Europe & Central Asia,Germany,Europe
DJI,Middle East & North Africa,Djibouti,Asia
DMA,Latin America & Caribbean,Dominica,South America
DNK,Europe & Central Asia,Denmark,Europe
DOM,Latin America & Caribbean,Dominican Republic,South America
DZA,Middle East & North Africa,Algeria,Asia
ECU,Latin America & Caribbean,Ecuador,South America
EGY,Middle East & North Africa,"Egypt, Arab Rep.",Asia
ERI,Sub-Saharan Africa,Eritrea,Africa
ESP,Europe & Central Asia,Spain,Europe
EST,Europe & Central Asia,Estonia,Europe
ETH,Sub-Saharan Africa,Ethiopia,Africa
FIN,Europe & Central Asia,Finland,Europe
FJI,East Asia & Pacific,Fiji,Asia
FRA,Europe & Central Asia,France,Europe
FRO,Europe & Central Asia,Faroe Islands,Europe
FSM,East Asia & Pacific,"Micronesia, Fed. Sts.",Asia
GAB,Sub-Saharan Africa,Gabon,Africa
GBR,Europe & Central Asia,United Kingdom,Europe
GEO,Europe & Central Asia,Georgia,Europe
GHA,Sub-Saharan Africa,Ghana,Africa
GIB,Europe & Central Asia,Gibraltar,Europe
GIN,Sub-Saharan Africa,Guinea,Africa
GMB,Sub-Saharan Africa,"Gambia, The",Africa
GNB,Sub-Saharan Africa,Guinea-Bissau,Africa
GNQ,Sub-Saharan Africa,Equatorial Guinea,Africa
GRC,Europe & Central Asia,Greece,Europe
GRD,Latin America & Caribbean,Grenada,South America
GRL,Europe & Central Asia,Greenland,Europe
GTM,Latin America & Caribbean,Guatemala,South America
GUM,East Asia & Pacific,Guam,Asia
GUY,Latin America & Caribbean,Guyana,South America
HKG,East Asia & Pacific,"Hong Kong SAR, China",Asia
HND,Latin America & Caribbean,Honduras,South America
HRV,Europe & Central Asia,Croatia,Europe
HTI,Latin America & Caribbean,Haiti,South America
HUN,Europe & Central Asia,Hungary,Europe
IDN,East Asia & Pacific,Indonesia,Asia
IMN,Europe & Central Asia,Isle of Man,Europe
IND,South Asia,India,Asia
IRL,Europe & Central Asia,Ireland,Europe
IRN,Middle East & North Africa,"Iran, Islamic Rep.",Asia
IRQ,Middle East & North Africa,Iraq,Asia
ISL,Europe & Central Asia,Iceland,Europe
ISR,Middle East & North Africa,Israel,Asia
ITA,Europe & Central Asia,Italy,Europe
JAM,Latin America & Caribbean,Jamaica,South America
JOR,Middle East & North Africa,Jordan,Asia
JPN,East Asia & Pacific,Japan,Asia
KAZ,Europe & Central Asia,Kazakhstan,Europe
KEN,Sub-Saharan Africa,Kenya,Africa
KGZ,Europe & Central Asia,Kyrgyz Republic,Europe
KHM,East Asia & Pacific,Cambodia,Asia
KIR,East Asia & Pacific,Kiribati,Asia
KNA,Latin America & Caribbean,St. Kitts and Nevis,South America
KOR,East Asia & Pacific,"Korea, Rep.",Asia
KWT,Middle East & North Africa,Kuwait,Asia
LAO,East Asia & Pacific,Lao PDR,Asia
LBN,Middle East & North Africa,Lebanon,Asia
LBR,Sub-Saharan Africa,Liberia,Africa
LBY,Middle East & North Africa,Libya,Asia
LCA,Latin America & Caribbean,St. Lucia,South America
LIE,Europe & Central Asia,Liechtenstein,Europe
LKA,South Asia,Sri Lanka,Asia
LSO,Sub-Saharan Africa,Lesotho,Africa
LTU,Europe & Central Asia,Lithuania,Europe
LUX,Europe & Central Asia,Luxembourg,Europe
LVA,Europe & Central Asia,Latvia,Europe
MAC,East Asia & Pacific,"Macao SAR, China",Asia
MAF,Latin America & Caribbean,St. Martin (French part),South America
MAR,Middle East & North Africa,Morocco,Asia
MCO,Europe & Central Asia,Monaco,Europe
MDA,Europe & Central Asia,Moldova,Europe
MDG,Sub-Saharan Africa,Madagascar,Africa
MDV,South Asia,Maldives,Asia
MEX,Latin America & Caribbean,Mexico,South America
MHL,East Asia & Pacific,Marshall Islands,Asia
MKD,Europe & Central Asia,North Macedonia,Europe
MLI,Sub-Saharan Africa,Mali,Africa
MLT,Middle East & North Africa,Malta,Asia
MMR,East Asia & Pacific,Myanmar,Asia
MNE,Europe & Central Asia,Montenegro,Europe
MNG,East Asia & Pacific,Mongolia,Asia
MNP,East Asia & Pacific,Northern Mariana Islands,Asia
MOZ,Sub-Saharan Africa,Mozambique,Africa
