Season,Points
2022-2023,21.0
2021-2022,74.0
2020-2021,67.0
2019-2020,66.0
2018-2019,72.0
2017-2018,70.0
2016-2017,93.0
2015-2016,50.0
2014-2015,87.0
2013-2014,82.0
2012-2013,75.0
2011-2012,64.0
2010-2011,71.0
2009-2010,86.0
2008-2009,83.0
2007-2008,85.0
2006-2007,83.0
2005-2006,91.0
2004-2005,95.0
2003-2004,79.0
2002-2003,67.0
2001-2002,64.0
2000-2001,61.0
1999-2000,65.0
1998-1999,75.0
1997-1998,63.0
1996-1997,59.0
1995-1996,50.0
1994-1995,54.0
1993-1994,51.0
1992-1993,56.0
1991-1992,53.0
1990-1991,49.0
1989-1990,60.0
,
1987-1988,42.0
1986-1987,52.0
1985-1986,71.0
1984-1985,66.0
,
1978-1979,20.0
1977-1978,36.0
,
1974-1975,33.0
1973-1974,37.0
1972-1973,40.0
1971-1972,48.0
1970-1971,51.0
1969-1970,55.0
1968-1969,50.0
1967-1968,48.0
1966-1967,44.0
1965-1966,51.0
1964-1965,56.0
1963-1964,50.0
,
1961-1962,28.0
1960-1961,37.0
1959-1960,37.0
1958-1959,40.0
1957-1958,42.0
1956-1957,39.0
1955-1956,39.0
1954-1955,52.0
1953-1954,44.0
1952-1953,35.0
1951-1952,36.0
1950-1951,32.0
1949-1950,40.0
1948-1949,38.0
1947-1948,37.0
1946-1947,39.0
,
1938-1939,33.0
1937-1938,41.0
1936-1937,41.0
1935-1936,43.0
1934-1935,41.0
1933-1934,36.0
1932-1933,35.0
1931-1932,40.0
1930-1931,40.0
,
1923-1924,32.0
1922-1923,36.0
1921-1922,46.0
1920-1921,39.0
1919-1920,49.0
,
1914-1915,29.0
1913-1914,39.0
1912-1913,28.0
,
1909-1910,29.0
1908-1909,37.0
1907-1908,36.0
