Country or Area,Country Code,Region,Continent
Afghanistan,AFG,Southern Asia,Asia
Åland Islands,ALA,Northern Europe,Europe
Albania,ALB,Southern Europe,Europe
Algeria,DZA,Northern Africa,Africa
American Samoa,ASM,Polynesia,Oceania
Andorra,AND,Southern Europe,Europe
Angola,AGO,Middle Africa,Africa
Anguilla,AIA,Caribbean,North America
Antarctica,ATA,Antarctica,Antarctica
Antigua and Barbuda,ATG,Caribbean,North America
Argentina,ARG,South America,South America
Armenia,ARM,Western Asia,Asia
Aruba,ABW,Caribbean,North America
Australia,AUS,Australia and New Zealand,Oceania
Austria,AUT,Western Europe,Europe
Azerbaijan,AZE,Western Asia,Asia
Bahamas,BHS,Caribbean,North America
Bahrain,BHR,Western Asia,Asia
Bangladesh,BGD,Southern Asia,Asia
Barbados,BRB,Caribbean,North America
Belarus,BLR,Eastern Europe,Europe
Belgium,BEL,Western Europe,Europe
Belize,BLZ,Central America,North America
Benin,BEN,Western Africa,Africa
Bermuda,BMU,Northern America,North America
Bhutan,BTN,Southern Asia,Asia
Bolivia (Plurinational State of),BOL,South America,South America
"Bonaire, Sint Eustatius and Saba",BES,Caribbean,North America
Bosnia and Herzegovina,BIH,Southern Europe,Europe
Botswana,BWA,Southern Africa,Africa
Bouvet Island,BVT,South America,South America
Brazil,BRA,South America,South America
British Indian Ocean Territory,IOT,Eastern Africa,Africa
British Virgin Islands,VGB,Caribbean,North America
Brunei Darussalam,BRN,South-eastern Asia,Asia
Bulgaria,BGR,Eastern Europe,Europe
Burkina Faso,BFA,Western Africa,Africa
Burundi,BDI,Eastern Africa,Africa
Cabo Verde,CPV,Western Africa,Africa
Cambodia,KHM,South-eastern Asia,Asia
Cameroon,CMR,Middle Africa,Africa
Canada,CAN,Northern America,North America
Cayman Islands,CYM,Caribbean,North America
Central African Republic,CAF,Middle Africa,Africa
Chad,TCD,Middle Africa,Africa
Chile,CHL,South America,South America
China,CHN,Eastern Asia,Asia
"China, Hong Kong Special Administrative Region",HKG,Eastern Asia,Asia
"China, Macao Special Administrative Region",MAC,Eastern Asia,Asia
Christmas Island,CXR,Australia and New Zealand,Oceania
Cocos (Keeling) Islands,CCK,Australia and New Zealand,Oceania
Colombia,COL,South America,South America
Comoros,COM,Eastern Africa,Africa
Congo,COG,Middle Africa,Africa
Cook Islands,COK,Polynesia,Oceania
Costa Rica,CRI,Central America,North America
Côte d’Ivoire,CIV,Western Africa,Africa
Croatia,HRV,Southern Europe,Europe
Cuba,CUB,Caribbean,North America
Curaçao,CUW,Caribbean,North America
Cyprus,CYP,Western Asia,Asia
Czechia,CZE,Eastern Europe,Europe
Democratic People's Republic of Korea,PRK,Eastern Asia,Asia
Democratic Republic of the Congo,COD,Middle Africa,Africa
