Year,Food,Price
01/01/1990,Meat,73.4
01/02/1990,Meat,76
01/03/1990,Meat,77.8
01/04/1990,Meat,80.4
01/05/1990,Meat,81
01/06/1990,Meat,83.1
01/07/1990,Meat,83.4
01/08/1990,Meat,83.7
01/09/1990,Meat,84.5
01/10/1990,Meat,85.4
01/11/1990,Meat,86.2
01/12/1990,Meat,83.7
01/01/1991,Meat,79.8
01/02/1991,Meat,81.7
01/03/1991,Meat,80.7
01/04/1991,Meat,79.5
01/05/1991,Meat,81.2
01/06/1991,Meat,80.4
01/07/1991,Meat,82.6
01/08/1991,Meat,79.4
01/09/1991,Meat,79.8
01/10/1991,Meat,82.3
01/11/1991,Meat,81.9
01/12/1991,Meat,78.3
01/01/1992,Meat,79.3
01/02/1992,Meat,80.9
01/03/1992,Meat,81.4
01/04/1992,Meat,77.4
01/05/1992,Meat,78.2
01/06/1992,Meat,78
01/07/1992,Meat,78.6
01/08/1992,Meat,77.5
01/09/1992,Meat,77.1
01/10/1992,Meat,73.5
01/11/1992,Meat,75.5
01/12/1992,Meat,72.8
01/01/1993,Meat,72.6
01/02/1993,Meat,72.1
01/03/1993,Meat,75.7
01/04/1993,Meat,74.8
01/05/1993,Meat,74.9
01/06/1993,Meat,77.6
01/07/1993,Meat,77
01/08/1993,Meat,73.8
01/09/1993,Meat,74.3
01/10/1993,Meat,73.5
01/11/1993,Meat,72.4
01/12/1993,Meat,70.1
01/01/1994,Meat,69.5
01/02/1994,Meat,70.9
01/03/1994,Meat,72.5
01/04/1994,Meat,72.9
01/05/1994,Meat,76.1
01/06/1994,Meat,74.4
01/07/1994,Meat,75
01/08/1994,Meat,76.6
01/09/1994,Meat,77.9
01/10/1994,Meat,78.1
01/11/1994,Meat,81.9
01/12/1994,Meat,78.2
01/01/1995,Meat,78.6
01/02/1995,Meat,83.1
01/03/1995,Meat,84.1
01/04/1995,Meat,84.9
01/05/1995,Meat,83.8
01/06/1995,Meat,81
01/07/1995,Meat,87.4
01/08/1995,Meat,87.1
01/09/1995,Meat,88.4
01/10/1995,Meat,88.8
01/11/1995,Meat,87.2
01/12/1995,Meat,81.2
01/01/1996,Meat,79.8
01/02/1996,Meat,79.9
01/03/1996,Meat,82.9
01/04/1996,Meat,80.8
01/05/1996,Meat,83.1
01/06/1996,Meat,83.5
01/07/1996,Meat,86.1
01/08/1996,Meat,88.8
01/09/1996,Meat,88.7
01/10/1996,Meat,85.9
01/11/1996,Meat,84.9
01/12/1996,Meat,81
01/01/1997,Meat,78.8
01/02/1997,Meat,78.7
01/03/1997,Meat,82.4
01/04/1997,Meat,83.5
01/05/1997,Meat,83.5
01/06/1997,Meat,80
01/07/1997,Meat,79.1
01/08/1997,Meat,80.1
01/09/1997,Meat,79.7
01/10/1997,Meat,75.5
01/11/1997,Meat,75.5
01/12/1997,Meat,69.5
01/01/1998,Meat,67.3
01/02/1998,Meat,68.3
01/03/1998,Meat,67.8
01/04/1998,Meat,67.8
01/05/1998,Meat,66.2
01/06/1998,Meat,66.2
01/07/1998,Meat,66.7
01/08/1998,Meat,64.2
01/09/1998,Meat,64.6
01/10/1998,Meat,64.1
01/11/1998,Meat,62.7
01/12/1998,Meat,63.3
01/01/1999,Meat,62.1
01/02/1999,Meat,62.8
01/03/1999,Meat,62.8
01/04/1999,Meat,61.1
01/05/1999,Meat,61.7
01/06/1999,Meat,62.1
01/07/1999,Meat,62.3
01/08/1999,Meat,64
01/09/1999,Meat,62.6
01/10/1999,Meat,60
01/11/1999,Meat,60.9
01/12/1999,Meat,58.9
01/01/2000,Meat,59.9
01/02/2000,Meat,60.2
01/03/2000,Meat,61.9
01/04/2000,Meat,61.3
01/05/2000,Meat,62.4
01/06/2000,Meat,61.7
01/07/2000,Meat,61.5
01/08/2000,Meat,59.2
01/09/2000,Meat,58.4
01/10/2000,Meat,58.6
01/11/2000,Meat,59.3
01/12/2000,Meat,59.3
01/01/2001,Meat,57.3
01/02/2001,Meat,60.9
01/03/2001,Meat,63.6
01/04/2001,Meat,64.1
01/05/2001,Meat,64.5
01/06/2001,Meat,62.5
01/07/2001,Meat,62.9
01/08/2001,Meat,63
01/09/2001,Meat,62.9
01/10/2001,Meat,61.3
01/11/2001,Meat,59.5
01/12/2001,Meat,58.2
01/01/2002,Meat,58.4
01/02/2002,Meat,56.6
01/03/2002,Meat,59.1
01/04/2002,Meat,56.3
01/05/2002,Meat,55.2
01/06/2002,Meat,55.4
01/07/2002,Meat,55.1
01/08/2002,Meat,55
01/09/2002,Meat,54.4
01/10/2002,Meat,52.6
01/11/2002,Meat,52.8
01/12/2002,Meat,51.1
01/01/2003,Meat,53.1
01/02/2003,Meat,54.1
01/03/2003,Meat,54.5
01/04/2003,Meat,55.7
01/05/2003,Meat,56.3
01/06/2003,Meat,56.2
01/07/2003,Meat,60.5
01/08/2003,Meat,60.7
01/09/2003,Meat,63
01/10/2003,Meat,62.7
01/11/2003,Meat,62.2
01/12/2003,Meat,61.2
01/01/2004,Meat,65.9
01/02/2004,Meat,63.8
01/03/2004,Meat,66.3
01/04/2004,Meat,66.3
