,Country Name,Country Code,Year,Date,Food
0,Afghanistan,AFG,2015,YR2015,45.1
1,Afghanistan,AFG,2016,YR2016,49.6
2,Afghanistan,AFG,2017,YR2017,54.3
3,Afghanistan,AFG,2018,YR2018,57.5
4,Afghanistan,AFG,2019,YR2019,63.1
5,Afghanistan,AFG,2020,YR2020,70
6,Albania,ALB,2015,YR2015,38.8
7,Albania,ALB,2016,YR2016,39
8,Albania,ALB,2017,YR2017,38.6
9,Albania,ALB,2018,YR2018,37.1
10,Albania,ALB,2019,YR2019,33.8
11,Albania,ALB,2020,YR2020,30.9
12,Algeria,DZA,2015,YR2015,22.9
13,Algeria,DZA,2016,YR2016,21.5
14,Algeria,DZA,2017,YR2017,19.7
15,Algeria,DZA,2018,YR2018,17.6
16,Algeria,DZA,2019,YR2019,17.6
17,Algeria,DZA,2020,YR2020,19
18,Argentina,ARG,2015,YR2015,19.2
19,Argentina,ARG,2016,YR2016,25.9
20,Argentina,ARG,2017,YR2017,32.3
21,Argentina,ARG,2018,YR2018,35.8
22,Argentina,ARG,2019,YR2019,35.8
23,Argentina,ARG,2020,YR2020,37
24,Australia,AUS,2015,YR2015,10.8
25,Australia,AUS,2016,YR2016,11.8
26,Australia,AUS,2017,YR2017,12.7
27,Australia,AUS,2018,YR2018,13.3
28,Australia,AUS,2019,YR2019,12.3
29,Australia,AUS,2020,YR2020,11.9
30,Austria,AUT,2015,YR2015,5.5
31,Austria,AUT,2016,YR2016,5.2
32,Austria,AUT,2017,YR2017,4.4
33,Austria,AUT,2018,YR2018,3.6
34,Austria,AUT,2019,YR2019,3
35,Austria,AUT,2020,YR2020,3.3
36,Azerbaijan,AZE,2015,YR2015,5.9
37,Azerbaijan,AZE,2016,YR2016,7.7
38,Azerbaijan,AZE,2017,YR2017,8.6
39,Azerbaijan,AZE,2018,YR2018,9.6
40,Azerbaijan,AZE,2019,YR2019,8.9
41,Azerbaijan,AZE,2020,YR2020,9.5
42,Bangladesh,BGD,2015,YR2015,32.2
43,Bangladesh,BGD,2016,YR2016,31.9
44,Bangladesh,BGD,2017,YR2017,31.5
45,Bangladesh,BGD,2018,YR2018,31.5
46,Bangladesh,BGD,2019,YR2019,31.9
47,Bangladesh,BGD,2020,YR2020,31.7
48,Benin,BEN,2015,YR2015,55
49,Benin,BEN,2016,YR2016,63.8
50,Benin,BEN,2017,YR2017,66.3
51,Benin,BEN,2018,YR2018,65.6
52,Benin,BEN,2019,YR2019,65.7
53,Benin,BEN,2020,YR2020,67.9
54,Bosnia and Herzegovina,BIH,2015,YR2015,9.6
55,Bosnia and Herzegovina,BIH,2016,YR2016,10.3
56,Bosnia and Herzegovina,BIH,2017,YR2017,8.7
57,Bosnia and Herzegovina,BIH,2018,YR2018,9.2
58,Bosnia and Herzegovina,BIH,2019,YR2019,10
59,Bosnia and Herzegovina,BIH,2020,YR2020,12.6
60,Botswana,BWA,2015,YR2015,46.4
61,Botswana,BWA,2016,YR2016,51.3
62,Botswana,BWA,2017,YR2017,53.4
63,Botswana,BWA,2018,YR2018,53.1
64,Botswana,BWA,2019,YR2019,54
65,Botswana,BWA,2020,YR2020,55.6
66,Brazil,BRA,2015,YR2015,18.3
67,Brazil,BRA,2016,YR2016,21.5
68,Brazil,BRA,2017,YR2017,21.8
69,Brazil,BRA,2018,YR2018,20.6
70,Brazil,BRA,2019,YR2019,23.5
71,Brazil,BRA,2020,YR2020,28.9
72,Bulgaria,BGR,2015,YR2015,14.9
73,Bulgaria,BGR,2016,YR2016,13.6
74,Bulgaria,BGR,2017,YR2017,12
75,Bulgaria,BGR,2018,YR2018,12.5
76,Bulgaria,BGR,2019,YR2019,13.2
77,Bulgaria,BGR,2020,YR2020,15.5
78,Burkina Faso,BFA,2015,YR2015,41.8
79,Burkina Faso,BFA,2016,YR2016,43
80,Burkina Faso,BFA,2017,YR2017,42.9
81,Burkina Faso,BFA,2018,YR2018,42.8
82,Burkina Faso,BFA,2019,YR2019,47.9
83,Burkina Faso,BFA,2020,YR2020,52.6
84,Cambodia,KHM,2015,YR2015,48.9
85,Cambodia,KHM,2016,YR2016,45.4
86,Cambodia,KHM,2017,YR2017,44.9
87,Cambodia,KHM,2018,YR2018,44.1
88,Cambodia,KHM,2019,YR2019,46.6
89,Cambodia,KHM,2020,YR2020,50
90,Cameroon,CMR,2015,YR2015,49.9
91,Cameroon,CMR,2016,YR2016,55.3
92,Cameroon,CMR,2017,YR2017,58
93,Cameroon,CMR,2018,YR2018,57
94,Cameroon,CMR,2019,YR2019,56.4
95,Cameroon,CMR,2020,YR2020,55.8
96,Canada,CAN,2015,YR2015,5
97,Canada,CAN,2016,YR2016,5
98,Canada,CAN,2017,YR2017,5
99,Canada,CAN,2018,YR2018,5.1
100,Canada,CAN,2019,YR2019,5.8
101,Canada,CAN,2020,YR2020,6.5
102,Chile,CHL,2015,YR2015,10.8
103,Chile,CHL,2016,YR2016,12.2
104,Chile,CHL,2017,YR2017,13.7
105,Chile,CHL,2018,YR2018,15.3
106,Chile,CHL,2019,YR2019,17.3
107,Chile,CHL,2020,YR2020,17.4
108,Costa Rica,CRI,2015,YR2015,12.2
109,Costa Rica,CRI,2016,YR2016,12.9
110,Costa Rica,CRI,2017,YR2017,13.7
111,Costa Rica,CRI,2018,YR2018,14.5
112,Costa Rica,CRI,2019,YR2019,15.3
113,Costa Rica,CRI,2020,YR2020,15.9
114,Croatia,HRV,2015,YR2015,6.5
115,Croatia,HRV,2016,YR2016,6.9
116,Croatia,HRV,2017,YR2017,7.8
117,Croatia,HRV,2018,YR2018,10
118,Croatia,HRV,2019,YR2019,11
119,Croatia,HRV,2020,YR2020,11.4
120,Czechia,CZE,2015,YR2015,5.8
121,Czechia,CZE,2016,YR2016,5.1
122,Czechia,CZE,2017,YR2017,3.9
123,Czechia,CZE,2018,YR2018,3.8
124,Czechia,CZE,2019,YR2019,4.2
125,Czechia,CZE,2020,YR2020,5.8
126,Denmark,DNK,2015,YR2015,5.9
127,Denmark,DNK,2016,YR2016,5.8
128,Denmark,DNK,2017,YR2017,5.4
129,Denmark,DNK,2018,YR2018,5.2
130,Denmark,DNK,2019,YR2019,5
131,Denmark,DNK,2020,YR2020,5.5
132,Ecuador,ECU,2015,YR2015,20.7
133,Ecuador,ECU,2016,YR2016,23.3
134,Ecuador,ECU,2017,YR2017,26.2
135,Ecuador,ECU,2018,YR2018,29.2
136,Ecuador,ECU,2019,YR2019,32.7
137,Ecuador,ECU,2020,YR2020,36.8
138,El Salvador,SLV,2015,YR2015,42.2
139,El Salvador,SLV,2016,YR2016,41.6
140,El Salvador,SLV,2017,YR2017,41.6
141,El Salvador,SLV,2018,YR2018,42.2
142,El Salvador,SLV,2019,YR2019,45.1
143,El Salvador,SLV,2020,YR2020,46.5
144,Estonia,EST,2015,YR2015,9.5
145,Estonia,EST,2016,YR2016,8.3
146,Estonia,EST,2017,YR2017,8.2
147,Estonia,EST,2018,YR2018,7.4
148,Estonia,EST,2019,YR2019,7.9
149,Estonia,EST,2020,YR2020,7.9
150,Ethiopia,ETH,2015,YR2015,56.2
151,Ethiopia,ETH,2016,YR2016,58.3
152,Ethiopia,ETH,2017,YR2017,59.4
153,Ethiopia,ETH,2018,YR2018,57.9
154,Ethiopia,ETH,2019,YR2019,56.3
155,Ethiopia,ETH,2020,YR2020,56.2
156,Finland,FIN,2015,YR2015,9.3
157,Finland,FIN,2016,YR2016,8.4
158,Finland,FIN,2017,YR2017,8.3
159,Finland,FIN,2018,YR2018,7.7
160,Finland,FIN,2019,YR2019,8
161,Finland,FIN,2020,YR2020,8.8
162,France,FRA,2015,YR2015,6.8
163,France,FRA,2016,YR2016,6.3
164,France,FRA,2017,YR2017,6.3
165,France,FRA,2018,YR2018,6
166,France,FRA,2019,YR2019,5.8
167,France,FRA,2020,YR2020,5.9
168,Georgia,GEO,2015,YR2015,31.8
169,Georgia,GEO,2016,YR2016,33.8
170,Georgia,GEO,2017,YR2017,35.5
171,Georgia,GEO,2018,YR2018,38.3
172,Georgia,GEO,2019,YR2019,39.7
173,Georgia,GEO,2020,YR2020,38.8
174,Germany,DEU,2015,YR2015,4.1
175,Germany,DEU,2016,YR2016,3.8
176,Germany,DEU,2017,YR2017,3.6
177,Germany,DEU,2018,YR2018,3.5
178,Germany,DEU,2019,YR2019,3.4
179,Germany,DEU,2020,YR2020,3.5
180,Ghana,GHA,2015,YR2015,38.3
181,Ghana,GHA,2016,YR2016,40.8
182,Ghana,GHA,2017,YR2017,43.8
183,Ghana,GHA,2018,YR2018,39.5
