,Country Name,Country Code,Year,Date,Food
0,Afghanistan,AFG,2015,YR2015,45.1
1,Afghanistan,AFG,2016,YR2016,49.6
2,Afghanistan,AFG,2017,YR2017,54.3
3,Afghanistan,AFG,2018,YR2018,57.5
4,Afghanistan,AFG,2019,YR2019,63.1
5,Afghanistan,AFG,2020,YR2020,70
6,Albania,ALB,2015,YR2015,38.8
7,Albania,ALB,2016,YR2016,39
8,Albania,ALB,2017,YR2017,38.6
9,Albania,ALB,2018,YR2018,37.1
10,Albania,ALB,2019,YR2019,33.8
11,Albania,ALB,2020,YR2020,30.9
12,Algeria,DZA,2015,YR2015,22.9
13,Algeria,DZA,2016,YR2016,21.5
14,Algeria,DZA,2017,YR2017,19.7
15,Algeria,DZA,2018,YR2018,17.6
16,Algeria,DZA,2019,YR2019,17.6
17,Algeria,DZA,2020,YR2020,19
18,American Samoa,ASM,2015,YR2015,N/A
19,American Samoa,ASM,2016,YR2016,N/A
20,American Samoa,ASM,2017,YR2017,N/A
21,American Samoa,ASM,2018,YR2018,N/A
22,American Samoa,ASM,2019,YR2019,N/A
23,American Samoa,ASM,2020,YR2020,N/A
24,Andorra,AND,2015,YR2015,N/A
25,Andorra,AND,2016,YR2016,N/A
26,Andorra,AND,2017,YR2017,N/A
27,Andorra,AND,2018,YR2018,N/A
28,Andorra,AND,2019,YR2019,N/A
29,Andorra,AND,2020,YR2020,N/A
30,Angola,AGO,2015,YR2015,66.5
31,Angola,AGO,2016,YR2016,N/A
32,Angola,AGO,2017,YR2017,N/A
33,Angola,AGO,2018,YR2018,70.1
34,Angola,AGO,2019,YR2019,73.5
35,Angola,AGO,2020,YR2020,77.7
36,Antigua and Barbuda,ATG,2015,YR2015,N/A
37,Antigua and Barbuda,ATG,2016,YR2016,N/A
38,Antigua and Barbuda,ATG,2017,YR2017,N/A
39,Antigua and Barbuda,ATG,2018,YR2018,N/A
40,Antigua and Barbuda,ATG,2019,YR2019,N/A
41,Antigua and Barbuda,ATG,2020,YR2020,33
42,Argentina,ARG,2015,YR2015,19.2
43,Argentina,ARG,2016,YR2016,25.9
44,Argentina,ARG,2017,YR2017,32.3
45,Argentina,ARG,2018,YR2018,35.8
46,Argentina,ARG,2019,YR2019,35.8
47,Argentina,ARG,2020,YR2020,37
48,Armenia,ARM,2015,YR2015,N/A
49,Armenia,ARM,2016,YR2016,N/A
50,Armenia,ARM,2017,YR2017,17.1
51,Armenia,ARM,2018,YR2018,14.8
52,Armenia,ARM,2019,YR2019,12.7
53,Armenia,ARM,2020,YR2020,10.7
54,Aruba,ABW,2015,YR2015,N/A
55,Aruba,ABW,2016,YR2016,N/A
56,Aruba,ABW,2017,YR2017,N/A
57,Aruba,ABW,2018,YR2018,N/A
58,Aruba,ABW,2019,YR2019,N/A
59,Aruba,ABW,2020,YR2020,N/A
60,Australia,AUS,2015,YR2015,10.8
61,Australia,AUS,2016,YR2016,11.8
62,Australia,AUS,2017,YR2017,12.7
63,Australia,AUS,2018,YR2018,13.3
64,Australia,AUS,2019,YR2019,12.3
65,Australia,AUS,2020,YR2020,11.9
66,Austria,AUT,2015,YR2015,5.5
67,Austria,AUT,2016,YR2016,5.2
68,Austria,AUT,2017,YR2017,4.4
69,Austria,AUT,2018,YR2018,3.6
70,Austria,AUT,2019,YR2019,3
71,Austria,AUT,2020,YR2020,3.3
72,Azerbaijan,AZE,2015,YR2015,5.9
73,Azerbaijan,AZE,2016,YR2016,7.7
74,Azerbaijan,AZE,2017,YR2017,8.6
75,Azerbaijan,AZE,2018,YR2018,9.6
76,Azerbaijan,AZE,2019,YR2019,8.9
77,Azerbaijan,AZE,2020,YR2020,9.5
78,Bahrain,BHR,2015,YR2015,N/A
79,Bahrain,BHR,2016,YR2016,N/A
80,Bahrain,BHR,2017,YR2017,N/A
81,Bahrain,BHR,2018,YR2018,N/A
82,Bahrain,BHR,2019,YR2019,N/A
83,Bahrain,BHR,2020,YR2020,N/A
84,Bangladesh,BGD,2015,YR2015,32.2
85,Bangladesh,BGD,2016,YR2016,31.9
86,Bangladesh,BGD,2017,YR2017,31.5
87,Bangladesh,BGD,2018,YR2018,31.5
88,Bangladesh,BGD,2019,YR2019,31.9
89,Bangladesh,BGD,2020,YR2020,31.7
90,Barbados,BRB,2015,YR2015,N/A
91,Barbados,BRB,2016,YR2016,N/A
92,Barbados,BRB,2017,YR2017,N/A
93,Barbados,BRB,2018,YR2018,N/A
94,Barbados,BRB,2019,YR2019,N/A
95,Barbados,BRB,2020,YR2020,31.1
96,Belarus,BLR,2015,YR2015,N/A
97,Belarus,BLR,2016,YR2016,N/A
98,Belarus,BLR,2017,YR2017,N/A
99,Belarus,BLR,2018,YR2018,N/A
100,Belarus,BLR,2019,YR2019,N/A
101,Belarus,BLR,2020,YR2020,N/A
102,Belgium,BEL,2015,YR2015,N/A
103,Belgium,BEL,2016,YR2016,N/A
104,Belgium,BEL,2017,YR2017,N/A
105,Belgium,BEL,2018,YR2018,N/A
106,Belgium,BEL,2019,YR2019,3.7
107,Belgium,BEL,2020,YR2020,4.8
108,Belize,BLZ,2015,YR2015,N/A
109,Belize,BLZ,2016,YR2016,N/A
110,Belize,BLZ,2017,YR2017,N/A
111,Belize,BLZ,2018,YR2018,35.7
112,Belize,BLZ,2019,YR2019,39
113,Belize,BLZ,2020,YR2020,42.3
114,Benin,BEN,2015,YR2015,55
115,Benin,BEN,2016,YR2016,63.8
116,Benin,BEN,2017,YR2017,66.3
117,Benin,BEN,2018,YR2018,65.6
118,Benin,BEN,2019,YR2019,65.7
119,Benin,BEN,2020,YR2020,67.9
120,Bermuda,BMU,2015,YR2015,N/A
121,Bermuda,BMU,2016,YR2016,N/A
122,Bermuda,BMU,2017,YR2017,N/A
123,Bermuda,BMU,2018,YR2018,N/A
124,Bermuda,BMU,2019,YR2019,N/A
125,Bermuda,BMU,2020,YR2020,N/A
126,Bhutan,BTN,2015,YR2015,N/A
127,Bhutan,BTN,2016,YR2016,N/A
128,Bhutan,BTN,2017,YR2017,N/A
129,Bhutan,BTN,2018,YR2018,N/A
130,Bhutan,BTN,2019,YR2019,N/A
131,Bhutan,BTN,2020,YR2020,N/A
132,Bosnia and Herzegovina,BIH,2015,YR2015,9.6
133,Bosnia and Herzegovina,BIH,2016,YR2016,10.3
134,Bosnia and Herzegovina,BIH,2017,YR2017,8.7
135,Bosnia and Herzegovina,BIH,2018,YR2018,9.2
136,Bosnia and Herzegovina,BIH,2019,YR2019,10
137,Bosnia and Herzegovina,BIH,2020,YR2020,12.6
138,Botswana,BWA,2015,YR2015,46.4
139,Botswana,BWA,2016,YR2016,51.3
140,Botswana,BWA,2017,YR2017,53.4
141,Botswana,BWA,2018,YR2018,53.1
142,Botswana,BWA,2019,YR2019,54
143,Botswana,BWA,2020,YR2020,55.6
144,Brazil,BRA,2015,YR2015,18.3
145,Brazil,BRA,2016,YR2016,21.5
146,Brazil,BRA,2017,YR2017,21.8
147,Brazil,BRA,2018,YR2018,20.6
148,Brazil,BRA,2019,YR2019,23.5
149,Brazil,BRA,2020,YR2020,28.9
150,British Virgin Islands,VGB,2015,YR2015,N/A
151,British Virgin Islands,VGB,2016,YR2016,N/A
152,British Virgin Islands,VGB,2017,YR2017,N/A
153,British Virgin Islands,VGB,2018,YR2018,N/A
154,British Virgin Islands,VGB,2019,YR2019,N/A
155,British Virgin Islands,VGB,2020,YR2020,N/A
156,Brunei Darussalam,BRN,2015,YR2015,N/A
157,Brunei Darussalam,BRN,2016,YR2016,N/A
158,Brunei Darussalam,BRN,2017,YR2017,N/A
159,Brunei Darussalam,BRN,2018,YR2018,N/A
160,Brunei Darussalam,BRN,2019,YR2019,N/A
161,Brunei Darussalam,BRN,2020,YR2020,N/A
162,Bulgaria,BGR,2015,YR2015,14.9
163,Bulgaria,BGR,2016,YR2016,13.6
164,Bulgaria,BGR,2017,YR2017,12
165,Bulgaria,BGR,2018,YR2018,12.5
166,Bulgaria,BGR,2019,YR2019,13.2
167,Bulgaria,BGR,2020,YR2020,15.5
168,Burkina Faso,BFA,2015,YR2015,41.8
169,Burkina Faso,BFA,2016,YR2016,43
170,Burkina Faso,BFA,2017,YR2017,42.9
171,Burkina Faso,BFA,2018,YR2018,42.8
172,Burkina Faso,BFA,2019,YR2019,47.9
173,Burkina Faso,BFA,2020,YR2020,52.6
174,Burundi,BDI,2015,YR2015,N/A
175,Burundi,BDI,2016,YR2016,N/A
176,Burundi,BDI,2017,YR2017,N/A
177,Burundi,BDI,2018,YR2018,N/A
178,Burundi,BDI,2019,YR2019,N/A
