,Continent,Region,Country Code,Country Name,Population Density,FoodProduction,Arable
0,Asia,Southern Asia,AFG,Afghanistan,59.75228064,118.04,0.200886631
1,Europe,Southern Europe,ALB,Albania,103.5711314,105.66,0.211286788
2,Africa,Northern Africa,DZA,Algeria,18.24365706,112.5,0.172721041
3,Oceania,Polynesia,ASM,American Samoa,230.945,,0.069064063
4,Europe,Southern Europe,AND,Andorra,165.3191489,,0.009266409
5,Africa,Middle Africa,AGO,Angola,26.81357664,108.08,0.146581571
6,North America,Caribbean,ATG,Antigua and Barbuda,210.6,88.3,0.04316671
7,South America,South America,ARG,Argentina,16.58089261,109.82,0.719151335
8,Asia,Western Asia,ARM,Armenia,98.54611872,85.78,0.158254467
9,North America,Caribbean,ABW,Aruba,592.1388889,,0.018764366
10,Oceania,Australia and New Zealand,AUS,Australia,3.335312311,89,1.194451561
11,Europe,Western Europe,AUT,Austria,108.0570044,101.68,0.148155226
12,Asia,Western Asia,AZE,Azerbaijan,122.1247368,122.09,0.206506986
13,North America,Caribbean,BHS,Bahamas,40.60649351,100.62,0.019681601
14,Asia,Western Asia,BHR,Bahrain,1882.126115,131.22,0.001082933
15,Asia,Southern Asia,BGD,Bangladesh,1286.171553,112.19,0.047783745
16,North America,Caribbean,BRB,Barbados,652.7744186,101.28,0.024938278
17,Europe,Eastern Europe,BLR,Belarus,46.21121293,106.21,0.603414602
18,Europe,Western Europe,BEL,Belgium,381.0635403,101.49,0.074955047
19,North America,Central America,BLZ,Belize,17.31350285,94.93,0.22789368
20,Africa,Western Africa,BEN,Benin,112.1241841,115.73,0.22146427
21,North America,Northern America,BMU,Bermuda,1183.203704,,0.00469535
22,Asia,Southern Asia,BTN,Bhutan,20.25448348,102.57,0.121681903
23,South America,South America,BOL,Bolivia (Plurinational State of),11.01833472,109.63,0.380356768
24,Europe,Southern Europe,BIH,Bosnia and Herzegovina,64.81263672,114.83,0.305869654
25,Africa,Southern Africa,BWA,Botswana,4.493148413,102.44,0.102104852
26,South America,South America,BRA,Brazil,25.50762538,111.85,0.261552377
27,North America,Caribbean,VGB,British Virgin Islands,206.0666667,,0.03235199
28,Asia,South-eastern Asia,BRN,Brunei Darussalam,83.81878558,105.88,0.009055408
29,Europe,Eastern Europe,BGR,Bulgaria,63.87265107,90.3,0.503604333
30,Africa,Western Africa,BFA,Burkina Faso,78.66456871,108.14,0.278776391
31,Africa,Eastern Africa,BDI,Burundi,475.8655374,143.53,0.098197849
32,Africa,Western Africa,CPV,Cabo Verde,144.5756824,80.51,0.085816284
33,Asia,South-eastern Asia,KHM,Cambodia,92.88953093,107.27,0.236386723
34,Africa,Middle Africa,CMR,Cameroon,56.04088553,103.11,0.234040981
35,North America,Northern America,CAN,Canada,4.242576785,113.66,1.005200067
36,North America,Caribbean,CYM,Cayman Islands,280.4625,,0.002971283
37,Africa,Middle Africa,CAF,Central African Republic,8.576551414,105.26,0.336888127
38,Africa,Middle Africa,TCD,Chad,13.21847284,120.7,0.31241174
39,South America,South America,CHL,Chile,25.95761178,107.97,0.062019713
40,Asia,Eastern Asia,CHN,China,149.7235526,102.96,0.084666643
