Year Unedited,Percentage,Year Cut,Month,,Year,,,,,,
1975 JAN,18.3,1975,JAN,1,1975-01-01,,,,,,1
1975 FEB,20,1975,FEB,2,1975-02-01,,,,,,
1975 MAR,22.8,1975,MAR,3,1975-03-01,,,,,,
1975 APR,25.9,1975,APR,4,1975-04-01,,,,,,
1975 MAY,26.4,1975,MAY,5,1975-05-01,,,,,,
1975 JUN,27.6,1975,JUN,6,1975-06-01,,,,,,
1975 JUL,28.6,1975,JUL,7,1975-07-01,,,,,,
1975 AUG,27.8,1975,AUG,8,1975-08-01,,,,,,
1975 SEP,27.3,1975,SEP,9,1975-09-01,,,,,,
1975 OCT,25.3,1975,OCT,10,1975-10-01,,,,,,
1975 NOV,24.9,1975,NOV,11,1975-11-01,,,,,,
1975 DEC,25.9,1975,DEC,12,1975-12-01,,,,,,
1976 JAN,25.2,1976,JAN,1,1976-01-01,,,,,,
1976 FEB,25.3,1976,FEB,2,1976-02-01,,,,,,
1976 MAR,22.3,1976,MAR,3,1976-03-01,,,,,,
1976 APR,20.1,1976,APR,4,1976-04-01,,,,,,
1976 MAY,18.6,1976,MAY,5,1976-05-01,,,,,,
1976 JUN,15.9,1976,JUN,6,1976-06-01,,,,,,
1976 JUL,13.4,1976,JUL,7,1976-07-01,,,,,,
1976 AUG,16.5,1976,AUG,8,1976-08-01,,,,,,
1976 SEP,19.3,1976,SEP,9,1976-09-01,,,,,,
1976 OCT,21.6,1976,OCT,10,1976-10-01,,,,,,
1976 NOV,21.3,1976,NOV,11,1976-11-01,,,,,,
1976 DEC,21.4,1976,DEC,12,1976-12-01,,,,,,
1977 JAN,23,1977,JAN,1,1977-01-01,,,,,,
1977 FEB,20.9,1977,FEB,2,1977-02-01,,,,,,
1977 MAR,21.1,1977,MAR,3,1977-03-01,,,,,,
1977 APR,20.7,1977,APR,4,1977-04-01,,,,,,
1977 MAY,20.7,1977,MAY,5,1977-05-01,,,,,,
1977 JUN,23,1977,JUN,6,1977-06-01,,,,,,
1977 JUL,24.3,1977,JUL,7,1977-07-01,,,,,,
1977 AUG,21,1977,AUG,8,1977-08-01,,,,,,
1977 SEP,17.9,1977,SEP,9,1977-09-01,,,,,,
