Team,Attendance,Country
Paris S-G,33000,Ligue 1 (France)
Napoli,29741,Serie A (Italy)
Barcelona,83194,La Liga (Spain)
Arsenal,60135,Premier League (England)
Real Madrid,57552,La Liga (Spain)
Lens,27920,Ligue 1 (France)
Manchester City,53152,Premier League (England)
Bayern Munich,75000,Bundesliga (Germany)
Milan,54643,Serie A (Italy)
Juventus,27871,Serie A (Italy)
Rennes,20874,Ligue 1 (France)
Newcastle Utd,52177,Premier League (England)
Lazio,37563,Serie A (Italy)
Marseille,47212,Ligue 1 (France)
Inter,62178,Serie A (Italy)
Freiburg,29343,Bundesliga (Germany)
Tottenham,61667,Premier League (England)
RB Leipzig,45172,Bundesliga (Germany)
Lorient,12404,Ligue 1 (France)
Real Sociedad,32580,La Liga (Spain)
Manchester Utd,73729,Premier League (England)
Monaco,4118,Ligue 1 (France)
Eint Frankfurt,50025,Bundesliga (Germany)
Atalanta,13803,Serie A (Italy)
Union Berlin,21875,Bundesliga (Germany)
Roma,44073,Serie A (Italy)
Lille,24029,Ligue 1 (France)
Athletic Club,43099,La Liga (Spain)
Atlético Madrid,54507,La Liga (Spain)
Betis,51290,La Liga (Spain)
Dortmund,81032,Bundesliga (Germany)
Osasuna,19156,La Liga (Spain)
Udinese,18386,Serie A (Italy)
Liverpool,53226,Premier League (England)
Rayo Vallecano,12482,La Liga (Spain)
Wolfsburg,26309,Bundesliga (Germany)
Villarreal,12525,La Liga (Spain)
Brighton,31425,Premier League (England)
Chelsea,39901,Premier League (England)
M'Gladbach,51718,Bundesliga (Germany)
Lyon,33655,Ligue 1 (France)
Torino,16519,Serie A (Italy)
Werder Bremen,41338,Bundesliga (Germany)
Valencia,41481,La Liga (Spain)
Mallorca,14788,La Liga (Spain)
Crystal Palace,24691,Premier League (England)
Nice,16693,Ligue 1 (France)
Brentford,17066,Premier League (England)
Fulham,22871,Premier League (England)
Fiorentina,28969,Serie A (Italy)
Clermont Foot,7951,Ligue 1 (France)
Bologna,14645,Serie A (Italy)
Mainz 05,28082,Bundesliga (Germany)
Valladolid,19794,La Liga (Spain)
Hoffenheim,21907,Bundesliga (Germany)
Leverkusen,27899,Bundesliga (Germany)
Aston Villa,41682,Premier League (England)
Girona,10777,La Liga (Spain)
Almería,12155,La Liga (Spain)
Leicester City,31630,Premier League (England)
Salernitana,16566,Serie A (Italy)
Reims,10099,Ligue 1 (France)
Empoli,6717,Serie A (Italy)
Köln,49643,Bundesliga (Germany)
Leeds United,36441,Premier League (England)
Monza,8628,Serie A (Italy)
Toulouse,17551,Ligue 1 (France)
Sassuolo,11528,Serie A (Italy)
Bournemouth,10396,Premier League (England)
Lecce,20978,Serie A (Italy)
Augsburg,26868,Bundesliga (Germany)
Getafe,11510,La Liga (Spain)
Hertha BSC,53197,Bundesliga (Germany)
Troyes,5510,Ligue 1 (France)
Montpellier,8904,Ligue 1 (France)
West Ham,62444,Premier League (England)
Everton,39209,Premier League (England)
Stuttgart,46006,Bundesliga (Germany)
Nantes,20897,Ligue 1 (France)
Spezia,7331,Serie A (Italy)
Brest,8176,Ligue 1 (France)
Auxerre,13183,Ligue 1 (France)
Nott'ham Forest,29040,Premier League (England)
Bochum,25417,Bundesliga (Germany)
Espanyol,19211,La Liga (Spain)
Celta Vigo,13640,La Liga (Spain)
Ajaccio,5545,Ligue 1 (France)
Southampton,30681,Premier League (England)
Sevilla,36750,La Liga (Spain)
Cádiz,17415,La Liga (Spain)
Strasbourg,18916,Ligue 1 (France)
Wolves,31619,Premier League (England)
Schalke 04,61046,Bundesliga (Germany)
Angers,7550,Ligue 1 (France)
Cremonese,10534,Serie A (Italy)
Sampdoria,16222,Serie A (Italy)
Hellas Verona,14001,Serie A (Italy)
Elche,21337,La Liga (Spain)
