Squad,Points,Goals Scored,Expected Goals
Paris S-G,41,43,35.2
Napoli,41,37,29.6
Barcelona,37,33,32.6
Arsenal,37,33,26.2
Real Madrid,35,33,30.6
Lens,36,26,27.3
Manchester City,32,40,27.6
Bayern Munich,34,49,35.2
Milan,33,29,25.1
Juventus,31,24,20.4
Rennes,31,31,25.9
Newcastle Utd,30,29,24.3
Lazio,30,26,18.4
Marseille,30,26,24.2
Inter,30,34,27.6
Freiburg,30,25,23.2
Tottenham,29,31,24.1
RB Leipzig,28,30,27.7
Lorient,28,26,20.2
Real Sociedad,26,19,18.5
Manchester Utd,26,20,18.8
Monaco,27,29,24.7
Eint Frankfurt,27,32,25.1
Atalanta,27,22,24.2
Union Berlin,27,24,15.0
Roma,27,18,26.8
Lille,26,27,26.5
Athletic Club,24,24,21.6
Atlético Madrid,24,21,18.3
Betis,24,17,18.5
Dortmund,25,25,24.6
Osasuna,23,16,18.2
Udinese,24,24,19.2
Liverpool,22,28,24.2
Rayo Vallecano,22,20,16.7
Wolfsburg,23,24,18.2
Villarreal,21,15,17.2
Brighton,21,23,21.5
Chelsea,21,17,15.4
M'Gladbach,22,28,23.3
Lyon,21,23,23.2
Torino,21,16,15.8
Werder Bremen,21,25,19.3
Valencia,19,22,20.3
Mallorca,19,13,13.2
Crystal Palace,19,15,14.0
Nice,20,15,20.9
Brentford,19,23,20.3
Fulham,19,24,19.6
Fiorentina,19,18,20.9
Clermont Foot,19,19,16.0
Bologna,19,20,16.9
Mainz 05,19,19,18.2
Valladolid,17,13,13.5
Hoffenheim,18,22,23.6
Leverkusen,18,25,21.9
Aston Villa,18,16,17.7
Girona,16,20,18.5
Almería,16,16,13.7
Leicester City,17,25,17.6
Salernitana,17,19,16.3
Reims,17,16,23.9
Empoli,17,12,14.5
Köln,17,21,22.2
Leeds United,15,22,20.3
Monza,16,16,17.0
Toulouse,16,20,18.3
Sassuolo,16,15,18.2
Bournemouth,16,18,11.6
Lecce,15,14,11.2
Augsburg,15,18,15.6
Getafe,14,12,9.8
Hertha BSC,14,19,17.6
Troyes,14,26,20.6
Montpellier,14,24,18.3
West Ham,14,12,18.6
Everton,14,11,15.4
Stuttgart,14,18,19.9
Nantes,13,17,17.5
Spezia,13,14,14.0
Brest,13,16,18.3
Auxerre,13,14,15.1
Nott'ham Forest,13,11,15.3
Bochum,13,14,14.0
Espanyol,12,16,15.8
Celta Vigo,12,14,13.9
Ajaccio,12,14,19.3
Southampton,12,13,14.7
Sevilla,11,13,14.1
Cádiz,11,9,10.2
Strasbourg,11,17,18.7
Wolves,10,8,14.9
Schalke 04,9,13,16.1
Angers,8,15,18.1
Cremonese,7,11,16.7
Sampdoria,6,6,11.6
Hellas Verona,5,12,16.2
Elche,4,10,10.3
