,Country Name,Country Code,Global Hunger,Population growth,Population,Continent
0,Afghanistan,AFG,33.3,141.2984379,35643420,Asia
1,Albania,ALB,11.1,-9.789430125,2879361,Europe
2,Algeria,DZA,9.5,46.68845927,41136548,Africa
3,Angola,AGO,32.5,114.8254384,30208634,Africa
4,Argentina,ARG,5.4,29.00777866,44054616,South America
5,Armenia,ARM,7.7,-15.27415106,2851929,Asia
6,Azerbaijan,AZE,9.6,28.71480512,10071569,Asia
7,Bangladesh,BGD,26.5,44.93624351,161793968,Asia
8,Belarus,BLR,2.5,-7.183482294,9707874,Europe
9,Benin,BEN,24.4,98.35601578,11596786,Africa
10,Bolivia (Plurinational State of),BOL,17.2,50.38061715,11435535,South America
11,Bosnia and Herzegovina,BIH,2.5,-16.58805035,3440025,Europe
12,Botswana,BWA,24.4,51.74796835,2401848,Africa
13,Brazil,BRA,5.4,33.25336316,208504960,South America
14,Bulgaria,BGR,5.4,-17.27529992,7182430,Europe
15,Burkina Faso,BFA,27.6,94.79836375,19835860,Africa
16,Cambodia,KHM,22.2,61.28076234,15830694,Asia
17,Cameroon,CMR,22.1,84.01683433,24393182,Africa
18,Central African Republic,CAF,50.9,46.84700952,4996741,Africa
19,Chad,TCD,43.5,120.652333,15085893,Africa
20,Chile,CHL,2.5,29.92933307,18368582,South America
21,China,CHN,7.5,16.03189571,1410275968,Asia
22,Colombia,COL,8,35.63127364,48351668,South America
23,Congo,COG,25.6,93.8525476,5312347,Africa
24,Costa Rica,CRI,5.3,47.59484827,4993849,North America
25,CÃ´te dâIvoire,CIV,26.5,75.55601796,24848024,Africa
26,Croatia,HRV,2.5,-10.49779182,4192468,Europe
27,Cuba,CUB,2.5,6.783232804,11336405,North America
28,Djibouti,DJI,31.4,50.78578466,1040242,Africa
29,Dominican Republic,DOM,11.6,40.96970082,10647247,North America
30,Ecuador,ECU,14.4,50.8020752,16696947,South America
31,Egypt,EGY,14.7,56.20443199,101789384,Africa
32,El Salvador,SLV,11.1,16.89057578,6266661,North America
33,Estonia,EST,2.5,-13.51181278,1317550,Europe
34,Eswatini,SWZ,21.2,45.5807398,1151397,Africa
35,Ethiopia,ETH,32.3,93.37337482,108197944,Africa
36,Fiji,FJI,8.1,19.82697833,919022,Oceania
37,Gabon,GAB,13.8,92.11915085,2140225,Africa
38,Gambia,GMB,23.2,101.8529822,2381189,Africa
39,Georgia,GEO,7.7,-25.41600872,3771904,Asia
40,Ghana,GHA,16.2,78.36963541,30222266,Africa
41,Guatemala,GTM,20.7,67.40336141,16578718,North America
42,Guinea,GIN,28.6,78.89958303,12240791,Africa
43,Guinea-Bissau,GNB,30.6,66.5907038,1879835,Africa
44,Guyana,GUY,13.7,2.724110921,763265,South America
45,Haiti,HTI,34.2,44.99928591,10863546,North America
46,Honduras,HND,14.3,70.75283984,9626845,North America
47,India,IND,31.4,44.48382307,1354195712,Asia
48,Indonesia,IDN,22,37.49133496,264498848,Asia
49,Iran (Islamic Republic of),IRN,7.6,36.21606591,84505080,Asia
50,Iraq,IRQ,22.9,95.66193605,39621156,Asia
51,Jamaica,JAM,8,16.49137125,2808388,North America
52,Jordan,JOR,6.7,130.8176659,10215384,Asia
53,Kazakhstan,KAZ,5.8,7.696901295,18314822,Asia
54,Kenya,KEN,21,89.21784586,48948140,Africa
55,Kuwait,KWT,2.5,105.3232419,4124904,Asia
56,Kyrgyzstan,KGZ,9.3,31.68280466,6121266,Asia
57,Lao People's Democratic Republic,LAO,27.5,48.01043363,6997925,Asia
58,Latvia,LVA,2.5,-23.95130076,1954861,Europe
59,Lebanon,LBN,8.1,107.3623374,6109255,Asia
60,Lesotho,LSO,24.1,30.4431412,2170622,Africa
61,Liberia,LBR,35.3,122.4529831,4796632,Africa
62,Lithuania,LTU,2.5,-20.50307747,2904452,Europe
63,Madagascar,MDG,38.3,97.00370756,26169540,Africa
64,Malawi,MWI,27.2,80.61787409,17881172,Africa
65,Malaysia,MYS,10.2,61.59259452,31975812,Asia
66,Mali,MLI,28.6,96.97097391,19311356,Africa
67,Mauritania,MRT,25.2,95.3046074,4160018,Africa
68,Mauritius,MUS,13.3,16.29798441,1294743,Africa
69,Mexico,MEX,6.5,41.72389542,122839256,North America
70,Republic of Moldova,MDA,7.6,-7.069962766,3180515,Europe
71,Mongolia,MNG,13.4,32.68884984,3096033,Asia
72,Montenegro,MNE,2.5,1.783295418,632445,Europe
73,Morocco,MAR,10.2,34.94107786,35528116,Africa
74,Mozambique,MOZ,30.5,99.0635503,28569448,Africa
75,Myanmar,MMR,22.6,25.63372985,52288344,Asia
76,Namibia,NAM,25.7,60.2383134,2364540,Africa
77,Nepal,NPL,22,44.92066562,28183424,Asia
78,Nicaragua,NIC,13.6,40.42128915,6480534,North America
79,Niger,NER,34.5,132.7287078,21737924,Africa
80,Nigeria,NGA,25.5,80.78120516,193495904,Africa
81,Democratic People's Republic of Korea,PRK,28.2,20.56851938,25516318,Asia
82,North Macedonia,MKD,5.3,4.558304365,2111982,Europe
83,Oman,OMN,11.3,111.7611408,4541853,Asia
84,Pakistan,PAK,32.6,66.49255415,216379648,Asia
85,Panama,PAN,9.2,54.08467643,4096071,North America
86,Paraguay,PRY,11,49.77474409,6355406,South America
87,Peru,PER,8.7,37.99795365,31605488,South America
88,Philippines,PHL,20,56.30519168,106738496,Asia
89,Romania,ROU,5.2,-14.9603493,19698852,Europe
90,Russian Federation,RUS,6.2,-2.986846535,145452544,Europe
91,Rwanda,RWA,31.4,73.52747771,12230343,Africa
92,Saudi Arabia,SAU,7.1,81.58380264,34193120,Asia
