,Country Name,Country Code,Year,Global Hunger Index in 2017 (Global Hunger Index 2017),Population growth 1992-2015 (UN Population Division),Population (historical estimates)
1,Afghanistan,AFG,2017,33.3,141.2984379,35643420
520,Albania,ALB,2017,11.1,-9.789430125,2879361
779,Algeria,DZA,2017,9.5,46.68845927,41136548
1411,Angola,AGO,2017,32.5,114.8254384,30208634
2054,Argentina,ARG,2017,5.4,29.00777866,44054616
2313,Armenia,ARM,2017,7.7,-15.27415106,2851929
3461,Azerbaijan,AZE,2017,9.6,28.71480512,10071569
4239,Bangladesh,BGD,2017,26.5,44.93624351,161793968
4754,Belarus,BLR,2017,2.5,-7.183482294,9707874
5531,Benin,BEN,2017,24.4,98.35601578,11596786
6121,Bolivia,BOL,2017,17.2,50.38061715,11435535
6452,Bosnia and Herzegovina,BIH,2017,2.5,-16.58805035,3440025
6711,Botswana,BWA,2017,24.4,51.74796835,2401848
6971,Brazil,BRA,2017,5.4,33.25336316,208504960
7562,Bulgaria,BGR,2017,5.4,-17.27529992,7182430
7821,Burkina Faso,BFA,2017,27.6,94.79836375,19835860
8339,Cambodia,KHM,2017,22.2,61.28076234,15830694
8598,Cameroon,CMR,2017,22.1,84.01683433,24393182
9422,Central African Republic,CAF,2017,50.9,46.84700952,4996741
9683,Chad,TCD,2017,43.5,120.652333,15085893
9944,Chile,CHL,2017,2.5,29.92933307,18368582
10203,China,CHN,2017,7.5,16.03189571,1410275968
10464,Colombia,COL,2017,8,35.63127364,48351668
10963,Congo,COG,2017,25.6,93.8525476,5312347
11294,Costa Rica,CRI,2017,5.3,47.59484827,4993849
11553,Cote d'Ivoire,CIV,2017,26.5,75.55601796,24848024
11812,Croatia,HRV,2017,2.5,-10.49779182,4192468
12071,Cuba,CUB,2017,2.5,6.783232804,11336405
13439,Djibouti,DJI,2017,31.4,50.78578466,1040242
13955,Dominican Republic,DOM,2017,11.6,40.96970082,10647247
14218,Ecuador,ECU,2017,14.4,50.8020752,16696947
14477,Egypt,EGY,2017,14.7,56.20443199,101789384
14736,El Salvador,SLV,2017,11.1,16.89057578,6266661
