,Country Name,Sunflower Oil Imports,Year
79,Armenia,93.42962963,2019
99,Australia,26.41625,2019
119,Azerbaijan,104.8017241,2019
159,Belarus,79.55344828,2019
169,Belgium,3.905762712,2019
239,Bulgaria,16.41724138,2019
285,Canada,4.533333333,2019
335,China,86.47251462,2019
425,Czechia,10.17241379,2019
495,Egypt,73.86089385,2019
515,Estonia,182.4333333,2019
575,France,34.85248756,2019
615,Georgia,90.34255319,2019
625,Germany,7.6704,2019
755,India,84.2391256,2019
805,Israel,130.1421053,2019
815,Italy,66.70777202,2019
835,Japan,20.56842105,2019
845,Jordan,72.43382353,2019
915,Latvia,43.06666667,2019
925,Lebanon,83.11808511,2019
965,Lithuania,124.6304348,2019
1015,Malaysia,872.4666667,2019
1085,Moldova,13.66538462,2019
1095,Mongolia,155.725,2019
1115,Morocco,52.81052632,2019
1145,Namibia,0.90625,2019
1155,Nepal,128.0394366,2019
1165,Netherlands,179.3336257,2019
1185,New Zealand,55.21578947,2019
1245,Norway,6.59,2019
1435,Saudi Arabia,112.8775281,2019
1445,Senegal,44.44285714,2019
1455,Serbia,4.978125,2019
1465,Seychelles,9.075,2019
1535,South Korea,45.89333333,2019
1545,Spain,51.32019116,2019
1583,Sweden,6.234615385,2019
1593,Switzerland,3.659615385,2019
1683,Tunisia,111.1789474,2019
1693,Turkey,44.29197475,2019
1733,United Arab Emirates,106.1074627,2019
1743,United Kingdom,35.38275862,2019
1753,United States,13.34717949,2019
1793,Venezuela,39.12857143,2019
