,Country Name,Sunflower Oil Imports,Year
9,Afghanistan,0.1,2019
19,Africa,0.1,2019
29,Albania,0.1,2019
39,Algeria,0.1,2019
49,Angola,0.1,2019
59,Antigua and Barbuda,0.1,2019
69,Argentina,0.1,2019
79,Armenia,93.42962963,2019
89,Asia,0.1,2019
99,Australia,26.41625,2019
109,Austria,0.1,2019
119,Azerbaijan,104.8017241,2019
129,Bahamas,0.1,2019
139,Bangladesh,0.1,2019
149,Barbados,0.1,2019
159,Belarus,79.55344828,2019
169,Belgium,3.905762712,2019
179,Belize,0.1,2019
189,Benin,0.1,2019
199,Bolivia,0.1,2019
209,Bosnia and Herzegovina,0.1,2019
219,Botswana,0.1,2019
229,Brazil,0.1,2019
239,Bulgaria,16.41724138,2019
249,Burkina Faso,0.1,2019
255,Burundi,0.1,2019
265,Cambodia,0.1,2019
275,Cameroon,0.1,2019
285,Canada,4.533333333,2019
295,Cape Verde,0.1,2019
305,Central African Republic,0.1,2019
315,Chad,0.1,2019
325,Chile,0.1,2019
335,China,86.47251462,2019
345,Colombia,0.1,2019
355,Comoros,0.1,2019
365,Congo,0.1,2019
375,Costa Rica,0.1,2019
385,Cote d'Ivoire,0.1,2019
395,Croatia,0.1,2019
405,Cuba,0.1,2019
415,Cyprus,0.1,2019
425,Czechia,10.17241379,2019
435,Democratic Republic of Congo,0.1,2019
445,Denmark,0.1,2019
455,Djibouti,0.1,2019
465,Dominica,0.1,2019
475,Dominican Republic,0.1,2019
485,Ecuador,0.1,2019
495,Egypt,73.86089385,2019
505,El Salvador,0.1,2019
515,Estonia,182.4333333,2019
525,Eswatini,0.1,2019
535,Ethiopia,0.1,2019
545,Europe,0.1,2019
555,Fiji,0.1,2019
565,Finland,0.1,2019
575,France,34.85248756,2019
585,French Polynesia,0.1,2019
595,Gabon,0.1,2019
605,Gambia,0.1,2019
615,Georgia,90.34255319,2019
625,Germany,7.6704,2019
635,Ghana,0.1,2019
645,Greece,0.1,2019
655,Grenada,0.1,2019
665,Guatemala,0.1,2019
675,Guinea,0.1,2019
685,Guinea-Bissau,0.1,2019
695,Guyana,0.1,2019
705,Haiti,0.1,2019
715,Honduras,0.1,2019
725,Hong Kong,0.1,2019
735,Hungary,0.1,2019
745,Iceland,0.1,2019
755,India,84.2391256,2019
765,Indonesia,0.1,2019
775,Iran,0.1,2019
785,Iraq,0.1,2019
795,Ireland,0.1,2019
805,Israel,130.1421053,2019
815,Italy,66.70777202,2019
825,Jamaica,0.1,2019
835,Japan,20.56842105,2019
845,Jordan,72.43382353,2019
855,Kazakhstan,0.1,2019
865,Kenya,0.1,2019
875,Kiribati,0.1,2019
885,Kuwait,0.1,2019
895,Kyrgyzstan,0.1,2019
905,Laos,0.1,2019
