Country,Country Code,Year,Inflation
United States,USA,1960,1.457975986
United States,USA,1961,1.070724148
United States,USA,1962,1.198773348
United States,USA,1963,1.239669421
United States,USA,1964,1.278911565
United States,USA,1965,1.585169264
United States,USA,1966,3.015075377
United States,USA,1967,2.772785623
United States,USA,1968,4.271796153
United States,USA,1969,5.4623862
United States,USA,1970,5.838255338
United States,USA,1971,4.292766688
United States,USA,1972,3.272278247
United States,USA,1973,6.177760064
United States,USA,1974,11.0548048
United States,USA,1975,9.143146865
United States,USA,1976,5.744812635
United States,USA,1977,6.501683995
United States,USA,1978,7.630963839
United States,USA,1979,11.25447113
United States,USA,1980,13.54920197
United States,USA,1981,10.33471534
United States,USA,1982,6.131427
United States,USA,1983,3.212435233
United States,USA,1984,4.300535475
United States,USA,1985,3.545644152
United States,USA,1986,1.898047722
United States,USA,1987,3.664563218
United States,USA,1988,4.077741107
United States,USA,1989,4.82700303
United States,USA,1990,5.39795644
United States,USA,1991,4.234963965
United States,USA,1992,3.028819678
United States,USA,1993,2.951656966
United States,USA,1994,2.607441592
United States,USA,1995,2.805419689
United States,USA,1996,2.9312042
United States,USA,1997,2.337689937
United States,USA,1998,1.552279099
United States,USA,1999,2.188027197
United States,USA,2000,3.376857271
United States,USA,2001,2.826171119
United States,USA,2002,1.586031627
United States,USA,2003,2.270094973
United States,USA,2004,2.677236693
United States,USA,2005,3.392746845
United States,USA,2006,3.225944101
United States,USA,2007,2.852672482
United States,USA,2008,3.839100297
United States,USA,2009,-0.355546266
United States,USA,2010,1.640043442
United States,USA,2011,3.156841569
United States,USA,2012,2.069337265
United States,USA,2013,1.464832656
United States,USA,2014,1.622222977
United States,USA,2015,0.118627136
United States,USA,2016,1.261583206
United States,USA,2017,2.130110004
United States,USA,2018,2.442583297
United States,USA,2019,1.812210075
United States,USA,2020,1.233584396
United States,USA,2021,4.697858864
