Date,GRA Purchases,PRGT 1/2/,Totals,Year,Totals (billions),Global GDP per capita,Nominal global GDP,Total / GDP per capita,Total/global GDP,as a %
08/31/2022,93769635059,15254184552,1.09E+11,2022,109.02,12262.93462,9.61001E+13,8.89E+06,1.13E-03,0.11
12/31/2021,89474552025,14554823681,1.04E+11,2021,104.03,10936.05747,8.49068E+13,9.51E+06,1.22E-03,0.12
12/31/2020,93408630285,12481816684,1.06E+11,2020,105.89,11407.47933,8.76529E+13,9.29E+06,1.21E-03,0.12
12/31/2019,66945509865,6590835450,73536345315,2019,73.54,11366.07367,8.6413E+13,6.47E+06,8.51E-04,0.09
12/31/2018,55395611392,6426181029,61821792421,2018,61.82,10825.90237,8.1404E+13,5.71E+06,7.59E-04,0.08
12/31/2017,39585385873,6522280669,46107666542,2017,46.11,10286.41133,7.64656E+13,4.48E+06,6.03E-04,0.06
12/31/2016,49267630851,6482647937,55750278788,2016,55.75,10231.70259,7.51793E+13,5.45E+06,7.42E-04,0.07
12/31/2015,50757840741,6575911158,57333751899,2015,57.33,10976.38345,7.97088E+13,5.22E+06,7.19E-04,0.07
12/31/2014,69041563463,6292755583,75334319046,2014,75.33,10815.58001,7.76072E+13,6.97E+06,9.71E-04,0.10
12/31/2013,83899249061,6174392682,90073641743,2013,90.07,10648.23722,7.54881E+13,8.46E+06,1.19E-03,0.12
12/31/2012,90042348252,5766292503,95808640755,2012,95.81,10544.87581,7.38538E+13,9.09E+06,1.30E-03,0.13
12/31/2011,87276915790,5308609594,92585525384,2011,92.59,9621.128288,6.65961E+13,9.62E+06,1.39E-03,0.14
12/31/2010,55620104510,4819344134,60439448644,2010,60.44,8890.80115,6.08091E+13,6.80E+06,9.94E-04,0.10
12/31/2009,37221142436,5079705286,42300847722,2009,42.3,9489.966012,6.41237E+13,4.46E+06,6.60E-04,0.07
12/31/2008,17514964723,3972372030,21487336753,2008,21.49,8743.396033,5.8355E+13,2.46E+06,3.68E-04,0.04
12/31/2007,6036146757,3796945581,9833092338,2007,9.83,7854.104396,5.17798E+13,1.25E+06,1.90E-04,0.02
12/31/2006,9822640239,3844020520,13666660759,2006,13.67,7337.489822,4.77797E+13,1.86E+06,2.86E-04,0.03
12/31/2005,28432143237,6282121668,34714264905,2005,34.71,6859.583985,4.41176E+13,5.06E+06,7.87E-04,0.08
12/31/2004,55373766674,6766029353,62139796027,2004,62.14,6163.078955,3.9147E+13,1.01E+07,1.59E-03,0.16
12/31/2003,65032062712,6880893268,71912955980,2003,71.91,5565.592514,3.49114E+13,1.29E+07,2.06E-03,0.21
12/31/2002,63601058794,6868671012,70469729806,2002,70.47,5427.391189,3.36154E+13,1.30E+07,2.10E-03,0.21
12/31/2001,53477225409,6424578684,59901804093,2001,59.9,5533.052968,3.38309E+13,1.08E+07,1.77E-03,0.18
12/31/2000,42990531049,6331595468,49322126517,2000,49.32,5425.049261,3.27374E+13,9.09E+06,1.51E-03,0.15
12/31/1999,51061861875,6434274362,57496136237,1999,57.5,5297.268208,3.154E+13,1.09E+07,1.82E-03,0.18
12/31/1998,60451017051,6288825925,66739842976,1998,66.74,5384.692144,3.16204E+13,1.24E+07,2.11E-03,0.21
12/31/1997,46559033783,6009867422,52568901205,1997,52.57,5481.614893,3.17367E+13,9.59E+06,1.66E-03,0.17
12/31/1996,36127472805,5881609752,42009082557,1996,42.01,5439.808718,3.10436E+13,7.72E+06,1.35E-03,0.14
12/31/1995,35929173412,5657438528,41586611940,1995,41.59,4957.636478,2.78723E+13,8.39E+06,1.49E-03,0.15
12/31/1994,25611676952,4599768498,30211445450,1994,30.21,4662.786795,2.5822E+13,6.48E+06,1.17E-03,0.12
12/31/1993,25196745031,3942792899,29139537930,1993,29.14,4659.467672,2.54061E+13,6.25E+06,1.15E-03,0.11
12/31/1992,23967172718,3804463796,27771636514,1992,27.77,4426.034577,2.37596E+13,6.27E+06,1.17E-03,0.12
12/31/1991,23378573926,3285717796,26664291722,1991,26.66,4314.338715,2.278E+13,6.18E+06,1.17E-03,0.12
12/31/1990,20731851093,2571911617,23303762710,1990,23.3,3890.962053,2.0194E+13,5.99E+06,1.15E-03,0.12
12/31/1989,22315104224,2334886562,24649990786,1989,24.65,3790.807087,1.9338E+13,6.50E+06,1.27E-03,0.13
12/31/1988,24750004884,1773964293,26523969177,1988,26.52,3452.776816,1.73072E+13,7.68E+06,1.53E-03,0.15
12/31/1987,28751979125,1866342930,30618322055,1987,30.62,3087.531735,1.52053E+13,9.92E+06,2.01E-03,0.20
12/31/1986,33334905644,2013169931,35348075575,1986,35.35,2657.496341,1.28601E+13,1.33E+07,2.75E-03,0.27
12/31/1985,35194787249,2470247948,37665035197,1985,37.67,2579.857213,1.22698E+13,1.46E+07,3.07E-03,0.31
12/31/1984,34936772393,2769874900,37706647293,1984,37.71,2532.623191,1.18383E+13,1.49E+07,3.19E-03,0.32
,,,,,,,,,,
,,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,
,,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,
